Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1Cx2fyD96YXugpNgdiGehe,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:7CafoLL6ydz0Y2m1ePcPj5,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,0,"Weather?
",0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:71JQeGqY5S7XX8oFtkALTN,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,-1,BOOOO,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5jbfC3A4ZfNIxAfWDQV3Vy,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:5FRmsiVS8ybJHQCV0fjuI1,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4JLkg4bX1IFtDtcdUqSJ8u,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,0,Blister in the Sun was *right there*,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:4agp6oHofabdUedr0B1krj,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,-1,You're lucky this didnt get both downvotes. ,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:3soLwFvqNYT90pZHSZhmK2,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,2,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:3eTwIIekod6vK1D9PEFQ42,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:2r29IeNuOv7UtJojmypdSE,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1Z1eIcXUNw8X2uAOkJryVb,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,2,I have questions.,0e2dde5f7ff24bd599d9eb0c85e37667
spotify:track:1kLfG3KS10Dz5x6ZPyTaRb,005c1f592f01474a868c991fd8294593,2025-03-09T03:19:32Z,1,,0e2dde5f7ff24bd599d9eb0c85e37667
